Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match Type
23,15,11,3,0,209.09,6,not out,1,West Indies,Indore,08-12-2011,ODI
80,99,85,5,0,94.11,5,caught,1,West Indies,Chennai,11-12-2011,ODI
31,30,34,3,0,91.17,3,caught,2,Australia,Melbourne,05-02-2012,ODI
77,156,94,8,1,81.91,3,run out,2,Sri Lanka,Perth,08-02-2012,ODI
18,41,28,1,0,64.28,3,caught,2,Australia,Adelaide,12-02-2012,ODI
15,32,25,1,0,60,3,lbw,2,Sri Lanka,Adelaide,14-02-2012,ODI
12,44,25,0,0,48,3,caught,2,Australia,Brisbane,19-02-2012,ODI
66,116,83,2,0,79.51,4,caught,2,Sri Lanka,Brisbane,21-02-2012,ODI
21,36,27,2,0,77.77,4,caught,2,Australia,Sydney,26-02-2012,ODI
133,133,86,16,2,154.65,4,not out,2,Sri Lanka,Hobart,28-02-2012,ODI
108,148,120,7,0,90,3,caught,1,Sri Lanka,Mirpur,13-03-2012,ODI
66,126,82,5,0,80.48,3,bowled,1,Bangladesh,Mirpur,16-03-2012,ODI
183,211,148,22,1,123.64,3,caught,2,Pakistan,Mirpur,18-03-2012,ODI
106,158,113,9,0,93.8,3,caught,1,Sri Lanka,Hambantota,21-07-2012,ODI
1,6,5,0,0,20,3,caught,1,Sri Lanka,Hambantota,24-07-2012,ODI
38,80,65,2,0,58.46,3,caught,2,Sri Lanka,Colombo (RPS),28-07-2012,ODI
128,187,119,12,1,107.56,3,not out,2,Sri Lanka,Colombo (RPS),31-07-2012,ODI
23,42,35,2,0,65.71,3,lbw,1,Sri Lanka,Pallekele,04-08-2012,ODI
0,9,5,0,0,0,3,bowled,1,Pakistan,Chennai,30-12-2012,ODI
6,12,9,1,0,66.66,3,caught,2,Pakistan,Eden Gardens,03-01-2013,ODI
7,25,17,1,0,41.17,3,caught,1,Pakistan,Delhi,06-01-2013,ODI
15,45,22,1,0,68.18,3,caught,2,England,Rajkot,11-01-2013,ODI
37,86,54,1,1,68.51,3,caught,1,England,Kochi,15-01-2013,ODI
77,110,79,9,2,97.46,3,not out,2,England,Ranchi,19-01-2013,ODI
26,44,33,3,0,78.78,3,caught,2,England,Mohali,23-01-2013,ODI
0,1,1,0,0,0,3,caught,1,England,Dharamsala,27-01-2013,ODI
31,46,41,2,0,75.6,3,caught,1,South Africa,Cardiff,06-06-2013,ODI
22,18,18,4,0,122.22,3,bowled,2,West Indies,The Oval,11-06-2013,ODI
22,36,27,3,0,81.48,3,not out,2,Pakistan,Birmingham,15-06-2013,ODI
58,80,64,4,1,90.62,3,not out,2,Sri Lanka,Cardiff,20-06-2013,ODI
43,66,34,4,1,126.47,3,caught,1,England,Birmingham,23-06-2013,ODI
11,19,21,0,1,52.38,3,caught,1,West Indies,Kingston,30-06-2013,ODI
2,6,5,0,0,40,4,caught,2,Sri Lanka,Kingston,02-07-2013,ODI
102,120,83,13,2,122.89,3,caught,1,West Indies,Port of Spain,05-07-2013,ODI
31,62,52,4,0,59.61,3,lbw,1,Sri Lanka,Port of Spain,09-07-2013,ODI
2,8,5,0,0,40,3,caught,2,Sri Lanka,Port of Spain,11-07-2013,ODI
115,133,108,13,1,106.48,3,caught,2,Zimbabwe,Harare,24-07-2013,ODI
14,35,18,2,0,77.77,3,caught,1,Zimbabwe,Harare,26-07-2013,ODI
68,128,88,5,1,77.27,3,not out,2,Zimbabwe,Harare,28-07-2013,ODI
,,,,,,,,,Zimbabwe,Bulawayo,01-08-2013,ODI
,,,,,,,,,Zimbabwe,Bulawayo,03-08-2013,ODI
61,121,85,6,0,71.76,3,lbw,2,Australia,Pune,13-10-2013,ODI
100,82,52,8,7,192.3,3,not out,2,Australia,Jaipur,16-10-2013,ODI
68,121,73,9,0,93.15,3,caught,1,Australia,Mohali,19-10-2013,ODI
,,,,,,,,,Australia,Ranchi,23-10-2013,ODI
115,104,66,18,1,174.24,3,not out,2,Australia,Nagpur,30-10-2013,ODI
0,4,3,0,0,0,3,run out,1,Australia,Bengaluru,02-11-2013,ODI
86,120,84,9,2,102.38,3,caught,2,West Indies,Kochi,21-11-2013,ODI
99,159,100,9,0,99,3,caught,1,West Indies,Visakhapatnam,24-11-2013,ODI
19,19,18,3,0,105.55,3,caught,2,West Indies,Kanpur,27-11-2013,ODI
31,41,35,5,0,88.57,3,caught,2,South Africa,Johannesburg,05-12-2013,ODI
0,7,5,0,0,0,3,caught,2,South Africa,Durban,08-12-2013,ODI
,,,,,,,,,South Africa,Centurion,11-12-2013,ODI
123,179,111,11,2,110.81,3,caught,2,New Zealand,Napier,19-01-2014,ODI
78,88,65,7,2,120,3,caught,2,New Zealand,Hamilton,22-01-2014,ODI
6,27,20,1,0,30,3,caught,2,New Zealand,Auckland,25-01-2014,ODI
2,14,10,0,0,20,2,caught,1,New Zealand,Hamilton,28-01-2014,ODI
82,129,78,7,3,105.12,3,caught,2,New Zealand,Wellington,31-01-2014,ODI
136,157,122,16,2,111.47,3,bowled,2,Bangladesh,Fatullah,26-02-2014,ODI
48,66,51,4,1,94.11,3,bowled,1,Sri Lanka,Fatullah,28-02-2014,ODI
5,29,11,0,0,45.45,3,caught,1,Pakistan,Mirpur,02-03-2014,ODI
,,,,,,,,,Afghanistan,Mirpur,05-03-2014,ODI
0,1,3,0,0,0,3,caught,1,England,Cardiff,27-08-2014,ODI
40,67,50,2,1,80,3,caught,2,England,Nottingham,30-08-2014,ODI
1,9,3,0,0,33.33,3,not out,2,England,Birmingham,02-09-2014,ODI
13,25,21,2,0,61.9,3,caught,2,England,Leeds,05-09-2014,ODI
2,7,5,0,0,40,3,caught,2,West Indies,Kochi,08-10-2014,ODI
62,124,78,5,0,79.48,4,caught,1,West Indies,Delhi,11-10-2014,ODI
127,164,114,13,3,111.4,3,run out,1,West Indies,Dharamsala,17-10-2014,ODI
22,34,21,2,0,104.76,4,caught,1,Sri Lanka,Cuttack,02-11-2014,ODI
49,-,44,2,2,111.36,4,caught,2,Sri Lanka,Ahmedabad,06-11-2014,ODI
53,-,61,4,1,86.88,4,caught,2,Sri Lanka,Hyderabad (Deccan),09-11-2014,ODI
